ANTH 0100T            Introductory Anthropology                         
ANTH 0204T            Law & Ord. Ancient & Con. Cult                    
ANTH 0344T            Human Genetics                                    
BIOL 0103T            Current Issues in Biology II                      
BIOL 0217T            Community Ecology                                 
BIOL 0336T            Behavioural Ecology                               
BIOL 1020U            Biology II                                        
BIOL 1840U            Biology for Engineers                             
BIOL 2020U            Genetics & Molecular Biology                      
BIOL 2040U            Biochemistry                                      
BIOL 3030U            Microbiology and Immunology                       
BIOL 3040U            Physiology of Regulatory Syst.                    
BIOL 3620U            Conservation Biology                              
BUSI 1101U            Financial Accounting                              
BUSI 1450U            Statistics                                        
BUSI 1650U            External Environment of Bus                       
BUSI 1700U            Intro. to Entrepreneurship                        
BUSI 2050U            Economics for Professionals                       
BUSI 2150U            Financial Accounting I                            
BUSI 2170U            Managerial Accounting                             
BUSI 2202U            Marketing II                                      
BUSI 2312U            Intro to Human Resources Mngt                     
BUSI 2402U            Finance II                                        
BUSI 2501U            E-Business Technologies                           
BUSI 2504U            E-Learning                                        
BUSI 2604U            Intro to Proj & Sup Chain Mgmt                    
BUSI 2705U            Legal Environment of Business                     
BUSI 3102U            Inter. Financial Accounting II                    
BUSI 3120U            Advanced Taxation                                 
BUSI 3160U            Advanced Managerial Accounting                    
BUSI 3210U            Consumer Behaviour                                
BUSI 3260U            Marketing Research                                
BUSI 3305U            Recruiting and Selection                          
BUSI 3380U            Compensation and Benefits                         
BUSI 3410U            Financial Institutions                            
BUSI 3450U            Business Forecasting Techniq.                     
CHEM 1020U            Chemistry II                                      
CHEM 1800U            Chemistry for Engineers                           
CHEM 2040U            Thermodynamics and Kinetics                       
CHEM 2120U            Organic Chemistry                                 
CHEM 3040U            Fundamentals of Physical Chem.                    
CHEM 3520U            Inorganic Chemistry II                            
CHEM 3540U            Instrum. Analytical Chem. II                      
CHEM 3830U            Instrumental Analytical Chem.                     
CSCI 0104T            Programming Methodologies                         
CSCI 0151T            Intro to Computer Sci with App                    
CSCI 1020U            Fundamentals of Programming                       
ECON 0102T            Introductory Macroeconomics                       
ECON 2020U            Macroeconomics                                    
EDUC 1470U            Impact of Sci. & Tech on Soc.                     
EDUC 2900U            Intro to Teach & Field Exper I                    
EDUC 2901U            Field Experience II                               
EDUC 3470U            Issues in Education                               
EDUC 3560U            Religious Education I                             
EDUC 3800U            Teaching for Ind Needs & Diver                    
EDUC 4240U            Ed. Rsrch, Thy, and Practice                      
EDUC 4590U            Assessment and Evaluation                         
EDUC 4610U            Advanced Instructional Design                     
EDUC 4901U            Field Experience II                               
ENGR 1200U            Introduction to Programming                       
ENGR 2010U            Thermodynamic Cycles                              
ENGR 2330U            Mechanical Equip. & Systems                       
ENGR 2420U            Solid Mechanics                                   
ENGR 2790U            Electric Circuits                                 
ENGR 2950U            Radiation Protection                              
ENGR 3300U            Integrated Manufact. Systems                      
ENGR 3380U            Strength of Materials                             
ENGR 3390U            Mechatronics                                      
ENGR 3460U            Industrial Ergonomics                             
ENGR 3610U            Corrosion for Engineers                           
ENGR 3780U            Nuclear Reactor Design                            
ENGR 3820U            Nuclear Reactor Kinetics                          
ENGR 4045U            Quality Control                                   
ENGR 4730U            Reactor Instrum. & Control                        
ENVS 0221T            Methods in Environmental Sci.                     
ENVS 1000U            Environmental Science                             
FSCI 1010U            Introductory  Forensic Science                    
FREN 0100T            Elementary French (full year)                     
FREN 1001T            Intro to French I (1 sem)                         
HLSC 1201U            Anatomy & Physiology II                           
HLSC 1802U            Intro to Health Care Systems                      
HLSC 2030U            Theory & Prac Interpers. Comm.                    
HLSC 2202U            Compr. Anatomy & Physiology                       
HLSC 2461U            Pathophysiology II                                
HLSC 2820U            Nutrition for Health Science                      
HLSC 3910U            Res. Meth. for Hlth Care Prof.                    
HSST 1001T            Intro to Spanish I (1 sem)                        
HSST 1002T            Intro to Spanish II (1 sem)                       
HIST 1002T            Themes in Canadian History II                     
HIST 1200T            Themes in West. European Hist.                    
HIST 2402T            Emer. of Mod Africa Since 1880                    
INFR 1100U            Introduction to Programming                       
INFR 1320U            Graphic Design                                    
INFR 1420U            Switch. Basics, Inter Routing                     
MATH 0155T            Intro. to Probability                             
MATH 1020U            Calculus II                                       
MATH 2020U            Advanced Calculus II                              
MATH 2060U            Differential Equations                            
MATH 2070U            Numerical Methods                                 
MATH 2072U            Computational Science I                           
MATH 2810U            Advanced Engineering Math                         
MATH 3050U            Mathematical Modelling                            
MLSC 1010U            Intro to Medical Lab Practice                     
MLSC 2110U            Clinical Biochemistry I                           
NURS 1150U            Hlth & Healing - Older Adult                      
NURS 1503U            Practicum Skills II                               
NURS 1505U            Professional Practice II                          
NURS 2505U            Professional Practice IV                          
NURS 2810U            Pharmacology for Nurses                           
NURS 3505U            Professional Practice VI                          
PHIL 0103T            Phil Inq: Know, Mind & Reality                    
PHIL 0275T            Philosophy of Religion                            
PHIL 0337T            Cyberethics                                       
PHIL 1010U            Ethical Reas. & Crit. Thinking                    
PHY 1020U             Physics II                                        
PHY 1040U             Physics for Biosciences II                        
PHY 1810U             Physics for Health Sciences                       
PHY 2020U             Electricity & Magnetism II                        
PHY 2040U             Mechanics II                                      
PHY 2050U             Thermodynamics & Heat Transfer                    
PHY 3040U             Mathematical Physics                              
PHY 3050U             Waves and Optics                                  
PHY 3060U             Fluid Mechanics                                   
PSYC 0227T            Introduction to Learning                          
PSYC 0236T            Intro. to Personality Theory                      
PSYC 0272T            Intro to Social Psychology                        
PSYC 1000U            Introductory Psychology                           
PSYC 2010U            Developmental Psychology                          
RADI 2100U            Radiological & Health Physics                     
RADI 2110U            Health Physics Laboratory                         
RADI 3220U            Rad. Biophysics & Dosimetry                       
RADI 3610U            Intro. to Radiation Machines                      
SCIE 1900U            Astronomy                                         
SSCI 1200U            Introduction to Social Policy                     
SSCI 2020U            Issues in Diversity                               
SSCI 2021U            Issues in Family                                  
SSCI 2810U            Sociological Theories of Crime                    
SSCI 2910U            Quantitative Methods                              
SSCI 3010U            Social Justice and Conflict                       
SSCI 3053U            Prosecution and Sentencing                        
SSCI 3060U            Corrections                                       
SSCI 3097U            Field Work Practicum                              
SSCI 3200U            Public Administration                             
SOCI 1000U            Introductory Sociology                            
STAT 2800U            Stats & Probability for Eng.                      
STAT 3010U            Biostatistcs                                      
ANTH 0203T            Tech across Time and Cultures                     
ANTH 0231T            Language, Culture & Society                       
ANTH 0310T            Key Ideas in Arch. & Bioarch.                     
ANTH 0312T            Old World Prehis: Pleis. & Rec                    
ANTH 0316T            Peoples of Pacific Oceania                        
ANTH 0347T            Primate Behaviour                                 
BIOL 0216T            Population Ecology                                
BIOL 3640U            Plant Biology                                     
BIOL 4010U            Intro to Enviro. Research Meth                    
BIOL 4020U            Environmental Risk Character.                     
BIOL 4040U            Applied Molecular Biology                         
BIOL 4070U            Advanced Biochemistry                             
BIOL 4430U            Directed Studies in Biology                       
BUSI 2205U            Marketing in the Info Sector                      
BUSI 3171U            Advanced Auditing                                 
BUSI 3220U            Sales Management                                  
BUSI 3280U            Brand Management                                  
BUSI 3390U            Training and Development                          
BUSI 3480U            International Finance                             
BUSI 3510U            Internet Engineering                              
BUSI 3570U            Server and Network Admin.                         
BUSI 3600U            Inventory Management                              
BUSI 3700U            Strategic Mngmt for Profess.                      
BUSI 4101U            Advanced Financial Accounting                     
BUSI 4140U            Contemporary Issues in Acct.                      
BUSI 4220U            Marketing Strategy                                
BUSI 4701U            Strategic Management I                            
BUSI 4991U            UOIT Edge 1-Capstone Project                      
CHEM 3120U            Advanced Organic Chemistry                        
CHEM 4040U            Physical Chemistry                                
CHEM 4050U            Environmental Chemistry                           
CHEM 4430U            Directed Studies in Chemistry                     
CSCI 0401T            Software Engineering: Theory                      
CSCI 2010U            Principles Of Computer Science                    
CSCI 2050U            Computer Architecture I                           
CSCI 2110U            Discrete Struct. in Comp. Scie                    
CSCI 3010U            Simulation and Modelling                          
ECON 0333T            The Econ. of Global Interdep.                     
ECON 0340T            Managerial Economics                              
EDUC 3400U            Techn. in I/S Education                           
EDUC 3500U            Technology in P/J Education                       
EDUC 4910U            Field Expericence I                               
ENGR 2110U            Discrete Mathematics                              
ENGR 2200U            Electrical Eng. Fundamentals                      
ENGR 2260U            Statics and Solid Mechanics                       
ENGR 2360U            Electric Power Systems                            
ENGR 2710U            Software Design I                                 
ENGR 3260U            Introduction to Energy Systems                    
ENGR 3395U            Manufacturing Systems Design                      
ENGR 3510U            Nuclear Plant Chemistry                           
ENGR 3640U            Radioactive Waste Mngt. Design                    
ENGR 3860U            Intro to Nuclear Reactor Tech.                    
ENGR 4260U            Automotive Engineering                            
ENGR 4280U            Robotics and Automation                           
ENGR 4380U            Life Cycle Engineering                            
ENGR 4390U            Modelling Manufacturing Syst.                     
ENGR 4660U            Risk Analysis Methods                             
ENGR 4700U            Nuclear Plant Design & Simul.                     
ENGR 4994U            Thesis Design Project I                           
ENGR 5005G            Project Mngt for Engineers                        
ENGL 1003T            Intro. to English Literature I                    
ENGL 2000T            Fnd in Pract. Critic. & Theory                    
ENGL 2100T            Fnd. in Mediev. & Renais. Lit.                    
ENGL 2200T            Fnd in Restoration to Rom. Lit                    
ENGL 2300T            Fnd. in American Literature                       
ENGL 3150T            Studies in Shakespeare                            
ENGL 3505T            Std in Cdn Lit: Communities                       
ENGL 3703T            Std in Lit. & Social Justice                      
ENGL 3802T            Studies in Modern Poetry                          
ENVS 0101T            Intro to Env. Sci: Global Pers                    
ENVS 0257T            Cdn Renewable Resource Mngt                       
ENVS 0358T            Pollut. Ecol. in Terr. Ecosyst                    
FSCI 2010U            Crime Scene Science                               
FREN 2001T            Intermediate French I                             
HLSC 2601U            Intro. to Health Management                       
HLSC 2801U            Health, Illness & Therapeutics                    
HLSC 4850U            Current Issues in Health Care                     
HSST 2001T            Intermediate Spanish I                            
HIST 0360T            Expansion of Europe-1450-1825                     
HIST 1001T            Canadian Lives I                                  
INFR 1350U            Imaging I                                         
INFR 2140U            Object Oriented Programming                       
INFR 2310U            Drawing II (Animation)                            
INFR 2410U            Adv. Routing & Remote Access                      
INFR 2470U            CISCO Sec. I: Fund. of Net Sec                    
INFR 2570U            Cybercrime                                        
INFR 2810U            Computer Architecture                             
MITS 5100G            Law & Ethics of IT Security                       
MITS 5200G            Advanced Comm. Networks                           
MITS 5300G            Operating System Security                         
MITS 6100G            Attack and Defense                                
MITS 6300G            IT Sec. Capstone Res. Proj. I                     
MITS 6400G            Bio/Acc Cont & Smart Card Tech                    
MATH 3020U            Real Analysis                                     
MATH 3040U            Optimization                                      
MLSC 1000U            Issues in Medical Lab. Science                    
MLSC 3110U            Clinical Biochemistry II                          
MLSC 3120U            Clinical Hematology                               
MLSC 3130U            Clinical Microbiology                             
NURS 2007U            Prof Prac III (Child & Family)                    
NURS 2008U            Prof Prac III (Adult Hlth Cha)                    
NURS 2100U            Hlth & Healing-Child & Family                     
NURS 2150U            Hlth & Hlng -Adult Hlth Chall.                    
NURS 3007U            Prof. Prac. V (Healthy Comm.)                     
NURS 3008U            Prof. Pract. V (Mental Health)                    
NURS 3507U            Prof. Prac. VI (Healthy Comm.)                    
NURS 3508U            Prof. Prac. VI (Mental Health)                    
NURS 4005U            Professional Practice VII                         
NURS 4100U            Nursing Leadership                                
NURS 4420U            Nursing Theories                                  
PHIL 0104T            Informal Logic                                    
PHIL 0239T            Biomedical Ethics                                 
PHIL 0279T            Philosophy of Art                                 
PHY 1501T             Introduction to Astronomy I                       
PHY 4020U             Quantum Mechanics II                              
PHY 4040U             Solar Energy & Photovoltaics                      
PHY 4100U             Medical Imaging                                   
PHY 4430U             Directed Studies in Physics                       
POSC 0100T            Gov & Glob. Politics in 21st C                    
PSYC 0102T            Introduction to Psychology I                      
PSYC 0215T            Basic Research Methods & Stat.                    
PSYC 0222T            Intro. to Physiological Psyc.                     
PSYC 0300T            Psyc. of Human Relationships                      
PSYC 0343T            Health Psychology                                 
PSYC 0381T            Dev. of Adolesce. & Yng Adults                    
PSYC 0384T            Family Development                                
RADI 3200U            Medical Imaging                                   
RADI 4430U            Indust.. Appl. of Radi. Techn.                    
RADI 4995U            Thesis Project I                                  
SSCI 4000U            Advanced Justice Studies                          
SSCI 4031U            Alternative Methods in Justice                    
SSCI 4059U            Policing II                                       
SSCI 4098U            Field Work Practicum                              
SOCI 0230T            Self and Social Interaction                       
SOCI 0347T            Religion and Society                              
SOCI 0363T            Sociology of Health & Illness                     
ANTH 0204T            Law & Order in Anc.&Cont. Cult                    
ANTH 0324T            Nonverbal Communication                           
ANTH 0370T            Psychological Anthropology                        
BIOL 2050U            Human Anatomy                                     
BIOL 3650U            Fundamentals Of Nutrition                         
BIOL 4030U            Adv. Topics in Enviro. Toxico.                    
BIOL 4050U            Adv. Topics in Pharm. Biotech.                    
BIOL 4060U            Funct. Genomic & Proteomics                       
BIOL 4080U            Bioethics                                         
BUSI 3150U            Financial Statement Analysis                      
BUSI 3172U            Auditing Information Systems                      
BUSI 3340U            Human Resource Planning                           
BUSI 3360U            Quality of Organizational Life                    
BUSI 3520U            Applied Internet Multimedia                       
BUSI 3810U            International Management                          
BUSI 4190U            Special Topics in Accounting                      
BUSI 4240U            Retail Management                                 
BUSI 4250U            International Marketing                           
BUSI 4405U            Portfolio & Investment Strat.                     
BUSI 4702U            Strategic Management II                           
BUSI 4992U            UOIT Edge II-Capstone Project                     
CHEM 3220U            Struct. Determ. of Org. Molec.                    
CHEM 4010U            Industrial Chemistry                              
CHEM 4060U            Chemical & Molecular Spectros.                    
CSCI 2020U            Software Systems Dev. & Integ.                    
CSCI 3090U            Sci Visual & Computer Graphics                    
ECON 0311T            International Trade                               
ECON 0351T            Labour Economics                                  
EDUC 3450U            Teaching Kindergarten                             
EDUC 3460U            Problem Based Learning                            
EDUC 4902U            Field Experience III                              
EDUC 4911U            Field Experience II                               
ENGR 2250U            Introductory Electronics                          
ENGR 2430U            Dynamics                                          
ENGR 2450U            Digital Systems                                   
ENGR 2490U            Software Project Management                       
ENGR 2520U            Fundamentals of Electromagnets                    
ENGR 2530U            Complex Analysis for Engineers                    
ENGR 2720U            Software Design II                                
ENGR 3210U            Mechanical Vibrations                             
ENGR 3220U            Machine Design                                    
ENGR 3320U            Fluid Power Systems                               
ENGR 3330U            Circuit Design                                    
ENGR 3360U            Engineering Economics                             
ENGR 3450U            Combustion and Engines                            
ENGR 3670U            Shielding Design                                  
ENGR 3730U            Solar Energy Technologies                         
ENGR 3830U            Wind Energy Systems                               
ENGR 3840U            Fuel Cell Design                                  
ENGR 4015U            Reliability and Maintenance                       
ENGR 4240U            Applied Thermal & Fluids Eng.                     
ENGR 4250U            Advanced Materials Engineering                    
ENGR 4520U            Nuclear Plant Safety Design                       
ENGR 4760U            Ethics, Law & Prof. for Eng.                      
ENGR 4810U            Nuclear Fuel Cycles                               
ENGR 4880U            Principles of Fusion Energy                       
ENGR 4999U            Design Thesis                                     
ENGR 5010G            Advanced Optimization                             
ENGR 5140G            Advanced Heat Transfer                            
ENGR 5242G            Advanced Vibrations                               
ENGR 5260G            Adv. Robotics & Automation                        
ENGL 1005T            Intro to English Literature II                    
ENGL 3125T            Std. in Chaucer's Canteb Tales                    
ENGL 3705T            Std in Lit. & the Environment                     
ENVS 0102T            Intro to Envir. Sci: Cdn Persp                    
FREN 1002T            Intro to French II  (1 sem.)                      
FREN 2002T            Intermediate French II                            
HLSC 2201U            Intro to Health Info. Mngmt.                      
HLSC 2501U            Health Law                                        
HLSC 3420U            Thry&Prac of Patient-Cnt Care                     
HSST 1002T            Intro to Spanish II (1 sem.)                      
HSST 2002T            Intermediate Spanish II                           
HIST 1002T            Canadian Lives II                                 
HIST 3951T            Oral Hist: Thry, Meth. & Prac.                    
INFR 2330U            Game World I                                      
INFR 2350U            Imaging II (Graph. Data Proc.)                    
INFR 2370U            Sound and Audio                                   
INFR 2420U            Multilayer Switching                              
INFR 2480U            CISCO Sec II: Network Security                    
INFR 2550U            Info. Tech. Project Mngt                          
INFR 2610U            OS Security I: Windows                            
INFR 2820U            Algorithms and Data Structures                    
INFR 2830U            Operating Systems                                 
MITS 5400G            Secure Software Systems                           
MITS 5500G            Cryptography & Secure Comm.                       
MITS 5610G            Spec. Topics: Cybercrime                          
MITS 6200G            eCommerce Infrastructure Sec.                     
MITS 6500G            Inc Hand, Rec, Pol & Risk Mngt                    
MITS 6600G            IT Sec Capstone Res. Proj II                      
MATH 3060U            Complex Analysis                                  
MATH 3070U            Algebraic Structures                              
MLSC 3210U            Laboratory Leadership                             
MLSC 3220U            Transfusion Science                               
MLSC 3230U            Histology                                         
PHIL 0240T            Symbolic Logic                                    
PHY 1502T             Introduction to Astronomy II                      
PHY 4010U             Statistical Mechanics II                          
PHY 4030U             Modern Physics                                    
PSYC 0103T            Introduction to Psychology II                     
PSYC 0202T            Psychology of Language                            
PSYC 0341T            Adv. Abnormal Psychology                          
PSYC 0352T            Memory                                            
PSYC 0366T            Sensation and Perception                          
PSYC 0383T            Dev. of Indv with Exceptional.                    
RADI 4320U            Medical Appl. of Radi. Techn.                     
RADI 4440U            Radioisotopes & Radi. Machines                    
SSCI 2010U            Criminal Law                                      
SSCI 2011U            Customs and  Immigration Law                      
SSCI 2920U            Qualit. &Case Study Res. Meth.                    
SSCI 4010U            Policy Analysis in Jsts Stud.                     
SSCI 4020U            Leadership & Administration                       
SSCI 4069U            Corrections II                                    
SSCI 4099U            Crim. & Just. Integrating Proj                    
SOCI 0341T            Sociology of Education                            
ANTH 0399T            Theories of Society & Culture                     
APBS 6010G            Research in Applied Bioscience                    
BIOL 0226T            Introductory Ecology                              
BIOL 3610U            Comparative Zoology                               
BUSI 2120U            Accounting for IT                                 
BUSI 2700U            Entrepreneurial Finance                           
BUSI 3250U            Service Marketing                                 
BUSI 3420U            Derivative Securities                             
BUSI 4410U            Adv. Corporate Finance Appl.                      
CHEM 3140U            Physical Chem. for Biosciences                    
CSCI 0101T            The Digital World                                 
CSCI 0275T            Computer Crimes & Forensics                       
CSCI 1800U            Computing Tools for Health Sci                    
CSCI 3020U            Operating Systems                                 
CSCI 3030U            Database Systems & Concepts                       
CSCI 3040U            Sys. Analysis & Design in Appl                    
CSCI 3070U            Analys. & Design of Algorithms                    
EDUC 3480U            Outdoor & ExperientIal Educ.                      
ENGR 3110U            Signals and Systems                               
ENGR 3140U            Computer Architecture                             
ENGR 3240U            Applic. for Electromagnetics                      
ENGR 3650U            Software Design III                               
ENGR 3770U            Design & Analys. of Algorithms                    
ENGR 3950U            Operating Systems                                 
ENGR 4160U            Artificial Intelligence in Eng                    
ENGR 4210U            Adv Solid Mech. & Stress Anal.                    
ENGR 4220U            Mechanical Systems Design                         
ENGR 4230U            Thermofluids & Energy Sys Des.                    
ENGR 4310U            Electronics                                       
ENGR 4330U            Mechatronics Systems Design                       
ENGR 4350U            Microprocessors                                   
ENGR 4410U            Fossil Fuel Energy Conversion                     
ENGR 4430U            Sustain.& Alter. Energy Techn.                    
ENGR 4470U            Hydrogen Power Systems                            
ENGR 4510U            Nuclear Plant Chemistry                           
ENGR 4620U            Radioactive Waste Mngt Design                     
ENGR 4680U            Nuclear Materials                                 
ENGR 5003G            MASc Seminar                                      
ENGR 5100G            Advanced Energy Systems                           
ENGR 5102G            Fuel Cells & Hydrogen Systems                     
ENGR 5263G            Advanced Control                                  
ENGR 5610G            Stochastic Processes                              
ENGR 5910G            Embedded Real-Time Control Sys                    
ENGL 2500T            Found. in Canadian Literature                     
ENGL 3123T            Studies in  Medieval Drama                        
ENGL 3251T            Studies in the Early Romantics                    
ENGL 3603T            Thry of Femin, Gend, & Sexual.                    
ENGL 3810T            Stdes in Children's Literature                    
ENVS 0395T            Curr Iss in Env Scie & Policy                     
FSCI 3010U            Criminalistics I                                  
HLSC 1700U            Professional Writing for HS                       
HLSC 3201U            Coding and Abstracting                            
INFR 2430U            Network Troubleshooting                           
INFR 2620U            OS Security II: Unix                              
INFR 3110U            Game Programming                                  
INFR 3120U            Web Programming                                   
INFR 3310U            Animation Arts                                    
INFR 3710U            Signals and Random Processes                      
INFR 3810U            Database Systems                                  
MTSC 6010G            Physics & Chem of Materials                       
MATH 2050U            Linear Algebra                                    
MATH 4010U            Dynamical Systems and Chaos                       
MATH 4020U            Computational Science II                          
MATH 4060U            Industrial Mathematics                            
MLSC 2111U            Clinical Biochemistry I                           
MLSC 2121U            Clinical Hematology I                             
MCSC 6010G            Mathematical Modelling                            
MCSC 6020G            Numerical Analysis                                
